Date,Opening price,Highest price,Lowest price,Closing price,Ups and downs,Quote,Volume,Transaction amount,Amplitude,Turnover rate
2020-04-08,26.90,27.25,26.75,26.96,-0.11,-0.41,"412,514","111,309",1.85,0.42
2020-04-07,27.34,27.42,26.80,27.07,0.30,1.12,"671,540","181,721",2.32,0.69
2020-04-03,26.75,27.18,26.60,26.77,-0.11,-0.41,"569,453","153,161",2.16,0.59
2020-04-02,26.50,26.94,26.35,26.88,0.25,0.94,"663,097","176,878",2.22,0.68
2020-04-01,26.45,26.96,26.25,26.63,0.98,3.82,"1,074,332","286,623",2.77,1.10
2020-03-30,26.10,26.73,26.00,26.04,-0.53,-1.99,"850,018","223,820",2.75,0.87
2020-03-27,26.72,27.16,26.42,26.57,0.37,1.41,"834,894","223,526",2.82,0.86
2020-03-26,26.22,26.51,26.00,26.20,-0.30,-1.13,"576,254","151,374",1.92,0.59
2020-03-25,25.35,26.60,25.35,26.50,1.60,6.43,"1,497,606","388,576",5.02,1.54
2020-03-24,25.08,25.16,24.36,24.90,0.35,1.43,"934,048","231,591",3.26,0.96
2020-03-23,24.84,25.08,24.39,24.55,-1.25,-4.85,"703,782","173,652",2.67,0.72
2020-03-20,25.50,25.94,25.06,25.80,0.57,2.26,"975,291","249,239",3.49,1.00
2020-03-19,25.80,25.93,24.18,25.23,-1.07,-4.07,"1,510,079","377,780",6.65,1.55
2020-03-18,27.40,27.64,26.01,26.30,-1.81,-6.44,"1,928,697","520,114",5.80,1.98
2020-03-17,28.55,28.86,27.30,28.11,-0.43,-1.51,"710,786","199,466",5.47,0.73
2020-03-16,29.46,29.46,28.29,28.54,-0.91,-3.09,"646,615","186,824",3.97,0.67
2020-03-13,28.50,29.80,28.20,29.45,-0.50,-1.67,"732,531","212,214",5.34,0.75
2020-03-12,30.01,30.63,29.60,29.95,-0.43,-1.42,"593,494","177,638",3.39,0.61
2020-03-11,30.83,31.00,30.36,30.38,-0.42,-1.36,"563,319","172,851",2.08,0.58
2020-03-10,30.60,31.57,30.20,30.80,0.25,0.82,"765,994","235,861",4.48,0.79
2020-03-09,30.60,31.13,30.01,30.55,-0.58,-1.86,"843,613","257,991",3.60,0.87
2020-03-06,31.81,31.99,30.99,31.13,-1.17,-3.62,"679,529","212,447",3.10,0.70
2020-03-05,31.78,32.70,31.60,32.30,0.04,0.12,"924,170","296,684",3.41,0.95
2020-03-04,31.28,32.45,30.74,32.26,1.16,3.73,"1,129,796","359,538",5.50,1.16
2020-03-03,31.51,31.63,30.43,31.10,-0.03,-0.10,"942,832","291,373",3.85,0.97
2020-03-02,29.90,31.63,29.90,31.13,1.54,5.20,"1,375,747","427,588",5.85,1.41
2020-02-28,29.25,30.60,29.18,29.59,-0.08,-0.27,"1,101,300","330,359",4.79,1.13
2020-02-27,30.23,30.26,29.38,29.67,-0.44,-1.46,"922,759","274,526",2.92,0.95
2020-02-26,28.85,30.96,28.60,30.11,0.78,2.66,"1,654,457","500,251",8.05,1.70
2020-02-25,28.82,29.65,28.80,29.33,0.43,1.49,"1,052,970","308,095",2.94,1.08
2020-02-24,29.10,29.15,28.42,28.90,-0.35,-1.20,"949,996","273,021",2.50,0.98
2020-02-21,29.80,29.80,29.00,29.25,-0.60,-2.01,"1,059,202","309,855",2.68,1.09
2020-02-20,29.51,29.87,29.28,29.85,0.20,0.67,"801,996","237,078",1.99,0.82
2020-02-19,29.72,30.10,29.55,29.65,-0.05,-0.17,"608,207","181,295",1.85,0.63
